Date,Visitor,G,Home,G,,Att.,LOG,Notes
2022-01-26,Boston Bruins,3,Colorado Avalanche,4,OT,18041,2:49,
2022-01-26,Chicago Blackhawks,8,Detroit Red Wings,5,,16578,2:38,
2022-01-26,Anaheim Ducks,3,Toronto Maple Leafs,4,SO,,2:41,
2022-01-26,San Jose Sharks,4,Washington Capitals,1,,18573,2:27,
2022-01-27,New York Rangers,3,Columbus Blue Jackets,5,,14878,2:27,
2022-01-27,Nashville Predators,2,Edmonton Oilers,3,SO,9150,2:44,
2022-01-27,Vegas Golden Knights,1,Florida Panthers,4,,15400,2:20,
2022-01-27,Anaheim Ducks,5,Montreal Canadiens,4,,,2:23,
2022-01-27,Los Angeles Kings,3,New York Islanders,2,,17255,2:23,
2022-01-27,Carolina Hurricanes,3,Ottawa Senators,2,SO,,2:35,
2022-01-27,Seattle Kraken,2,Pittsburgh Penguins,1,OT,18228,2:20,
2022-01-27,Calgary Flames,1,St. Louis Blues,5,,18096,2:27,
2022-01-27,New Jersey Devils,2,Tampa Bay Lightning,3,,19092,2:23,
2022-01-27,Vancouver Canucks,5,Winnipeg Jets,1,,250,2:23,
2022-01-28,Boston Bruins,2,Arizona Coyotes,1,,12994,2:31,
2022-01-28,Colorado Avalanche,6,Chicago Blackhawks,4,,17992,2:39,
2022-01-28,Washington Capitals,5,Dallas Stars,0,,18532,2:22,
2022-01-28,Minnesota Wild,3,New York Rangers,2,,18006,2:30,
2022-01-28,Detroit Red Wings,3,Pittsburgh Penguins,2,SO,18369,2:41,
2022-01-29,Buffalo Sabres,3,Arizona Coyotes,1,,12853,2:16,
2022-01-29,New Jersey Devils,1,Carolina Hurricanes,2,,18956,2:25,
2022-01-29,Vancouver Canucks,0,Calgary Flames,1,OT,9639,2:32,
2022-01-29,Toronto Maple Leafs,7,Detroit Red Wings,4,,19515,2:29,
2022-01-29,San Jose Sharks,4,Florida Panthers,5,OT,18152,2:30,
2022-01-29,Edmonton Oilers,7,Montreal Canadiens,2,,,2:20,
2022-01-29,Anaheim Ducks,2,Ottawa Senators,1,,,2:22,
2022-01-29,Los Angeles Kings,3,Philadelphia Flyers,4,OT,13763,2:30,
2022-01-29,Winnipeg Jets,4,St. Louis Blues,1,,18096,2:20,
2022-01-29,Vegas Golden Knights,3,Tampa Bay Lightning,2,SO,19092,2:41,
2022-01-30,San Jose Sharks,1,Carolina Hurricanes,2,,15975,2:29,
2022-01-30,Buffalo Sabres,1,Colorado Avalanche,4,,17456,2:31,
2022-01-30,Boston Bruins,1,Dallas Stars,6,,17954,2:21,
2022-01-30,Columbus Blue Jackets,6,Montreal Canadiens,3,,,2:25,
2022-01-30,Minnesota Wild,4,New York Islanders,3,,15518,2:25,
2022-01-30,Seattle Kraken,2,New York Rangers,3,,18006,2:27,
2022-01-30,Los Angeles Kings,4,Pittsburgh Penguins,3,,18237,2:31,
2022-01-31,Florida Panthers,8,Columbus Blue Jackets,4,,14214,2:28,
2022-01-31,Vancouver Canucks,3,Chicago Blackhawks,1,,17170,2:21,
2022-01-31,Anaheim Ducks,1,Detroit Red Wings,2,OT,14545,2:26,
2022-01-31,Edmonton Oilers,2,Ottawa Senators,3,OT,500,2:32,
2022-01-31,New Jersey Devils,4,Toronto Maple Leafs,6,,500,2:31,
2022-02-01,Seattle Kraken,2,Boston Bruins,3,,17850,2:31,
2022-02-01,Arizona Coyotes,3,Colorado Avalanche,2,SO,15345,2:39,
2022-02-01,Calgary Flames,4,Dallas Stars,3,,17567,2:23,
2022-02-01,Toronto Maple Leafs,7,New Jersey Devils,1,,11602,2:28,
2022-02-01,Vancouver Canucks,2,Nashville Predators,4,,17159,2:23,
2022-02-01,Ottawa Senators,1,New York Islanders,4,,15258,2:20,
2022-02-01,Florida Panthers,2,New York Rangers,5,,15942,2:30,
2022-02-01,Winnipeg Jets,1,Philadelphia Flyers,3,,13433,2:24,
2022-02-01,Washington Capitals,4,Pittsburgh Penguins,3,OT,17826,2:43,
2022-02-01,San Jose Sharks,2,Tampa Bay Lightning,3,OT,19092,2:35,
2022-02-01,Buffalo Sabres,2,Vegas Golden Knights,5,,18235,2:27,
2022-02-02,Calgary Flames,4,Arizona Coyotes,2,,9552,2:23,
2022-02-02,Minnesota Wild,5,Chicago Blackhawks,0,,16373,2:15,
2022-02-02,Los Angeles Kings,5,Detroit Red Wings,3,,11553,2:23,
2022-02-02,Seattle Kraken,3,New York Islanders,0,,17255,2:16,
2022-02-02,Edmonton Oilers,5,Washington Capitals,3,,18573,2:26,
2022-02-07,New Jersey Devils,1,Ottawa Senators,4,,500,2:12,
2022-02-07,Carolina Hurricanes,3,Toronto Maple Leafs,4,OT,500,2:39,
2022-02-08,Pittsburgh Penguins,4,Boston Bruins,2,,17850,2:32,
2022-02-08,Vegas Golden Knights,4,Edmonton Oilers,0,,9150,2:18,
2022-02-08,New Jersey Devils,7,Montreal Canadiens,1,,500,2:23,
2022-02-08,Carolina Hurricanes,3,Ottawa Senators,4,,500,2:25,
2022-02-08,Arizona Coyotes,1,Vancouver Canucks,5,,9124,2:21,
2022-02-08,Minnesota Wild,0,Winnipeg Jets,2,,7012,2:23,
2022-02-08,Columbus Blue Jackets,5,Washington Capitals,4,,18573,2:33,
2022-02-09,Vegas Golden Knights,0,Calgary Flames,6,,9639,2:25,
2022-02-09,Nashville Predators,3,Dallas Stars,4,,17780,2:37,
2022-02-09,Chicago Blackhawks,4,Edmonton Oilers,1,,9150,2:22,
2022-02-09,Detroit Red Wings,6,Philadelphia Flyers,3,,13243,2:26,
2022-02-09,Arizona Coyotes,5,Seattle Kraken,2,,17151,2:27,
2022-02-09,New York Islanders,6,Vancouver Canucks,3,,9268,2:18,
2022-02-10,Carolina Hurricanes,6,Boston Bruins,0,,17850,2:43,
2022-02-10,Columbus Blue Jackets,4,Buffalo Sabres,3,OT,8476,2:23,
2022-02-10,Toronto Maple Leafs,2,Calgary Flames,5,,9639,2:27,
2022-02-10,Tampa Bay Lightning,2,Colorado Avalanche,3,,18018,2:41,
2022-02-10,Washington Capitals,5,Montreal Canadiens,2,,500,2:28,
2022-02-10,Pittsburgh Penguins,2,Ottawa Senators,0,,500,2:18,
2022-02-10,New Jersey Devils,7,St. Louis Blues,4,,18096,2:34,
2022-02-11,Seattle Kraken,4,Anaheim Ducks,3,,12530,2:28,
2022-02-11,Tampa Bay Lightning,4,Arizona Coyotes,3,,11727,2:16,
2022-02-11,Winnipeg Jets,3,Dallas Stars,4,OT,18014,2:34,
2022-02-11,New York Islanders,1,Edmonton Oilers,3,,9150,2:20,
2022-02-12,New York Islanders,2,Calgary Flames,5,,9639,2:28,
2022-02-12,Philadelphia Flyers,2,Detroit Red Wings,4,,15965,2:26,
2022-02-12,Carolina Hurricanes,2,Minnesota Wild,3,,18802,2:33,
2022-02-12,Columbus Blue Jackets,2,Montreal Canadiens,1,,500,2:28,
2022-02-12,Winnipeg Jets,5,Nashville Predators,2,,17688,2:30,
2022-02-12,Boston Bruins,2,Ottawa Senators,0,,500,2:28,
2022-02-12,Chicago Blackhawks,1,St. Louis Blues,5,,18096,2:18,
2022-02-12,Toronto Maple Leafs,2,Vancouver Canucks,3,,9396,2:25,
2022-02-13,Colorado Avalanche,4,Dallas Stars,0,,18167,2:20,
2022-02-13,Buffalo Sabres,5,Montreal Canadiens,3,,500,2:19,
2022-02-13,Pittsburgh Penguins,4,New Jersey Devils,2,,11242,2:16,
2022-02-13,Ottawa Senators,4,Washington Capitals,1,,18573,2:31,
2022-02-14,Detroit Red Wings,4,Minnesota Wild,7,,18098,2:41,
2022-02-14,Toronto Maple Leafs,6,Seattle Kraken,2,,17151,2:30,
2022-02-14,Edmonton Oilers,3,San Jose Sharks,0,,11513,2:18,
2022-02-14,Chicago Blackhawks,3,Winnipeg Jets,1,,7511,2:14,
2022-02-15,New York Islanders,3,Buffalo Sabres,6,,9296,2:25,
2022-02-15,Columbus Blue Jackets,2,Calgary Flames,6,,9639,2:20,
2022-02-15,Dallas Stars,4,Colorado Avalanche,1,,17503,2:40,
2022-02-15,Edmonton Oilers,5,Los Angeles Kings,2,,15494,2:28,
2022-02-15,Tampa Bay Lightning,6,New Jersey Devils,3,,10410,2:33,
2022-02-15,Washington Capitals,4,Nashville Predators,1,,17238,2:31,
2022-02-15,Boston Bruins,1,New York Rangers,2,SO,15403,2:38,
2022-02-15,St. Louis Blues,5,Ottawa Senators,2,,500,2:27,
2022-02-15,Philadelphia Flyers,4,Pittsburgh Penguins,5,OT,18385,2:34,
2022-02-16,Florida Panthers,3,Carolina Hurricanes,2,OT,16986,2:35,
2022-02-16,Anaheim Ducks,2,Calgary Flames,6,,9639,2:29,
2022-02-16,Colorado Avalanche,2,Vegas Golden Knights,0,,18209,2:28,
2022-02-16,Minnesota Wild,3,Winnipeg Jets,6,,12527,2:23,
2022-02-17,Ottawa Senators,3,Buffalo Sabres,1,,7026,2:22,
2022-02-17,Columbus Blue Jackets,7,Chicago Blackhawks,4,,19290,2:26,
2022-02-17,Anaheim Ducks,3,Edmonton Oilers,7,,9150,2:31,
2022-02-17,St. Louis Blues,2,Montreal Canadiens,3,OT,500,2:38,
2022-02-17,Boston Bruins,1,New York Islanders,4,,16518,2:20,
2022-02-17,Detroit Red Wings,3,New York Rangers,2,SO,16461,2:43,
2022-02-17,Washington Capitals,5,Philadelphia Flyers,3,,16886,2:36,
2022-02-17,Vancouver Canucks,5,San Jose Sharks,4,OT,10608,2:29,
2022-02-17,Pittsburgh Penguins,1,Toronto Maple Leafs,4,,8139,2:30,
2022-02-17,Seattle Kraken,3,Winnipeg Jets,5,,13071,2:23,
2022-02-18,Nashville Predators,3,Carolina Hurricanes,5,,18911,2:35,
2022-02-18,Dallas Stars,1,Chicago Blackhawks,0,SO,19845,2:24,
2022-02-18,Florida Panthers,6,Minnesota Wild,2,,18300,2:30,
2022-02-18,Los Angeles Kings,4,Vegas Golden Knights,3,OT,18238,2:34,
2022-02-19,Los Angeles Kings,5,Arizona Coyotes,3,,13831,2:17,
2022-02-19,Colorado Avalanche,5,Buffalo Sabres,3,,10526,2:18,
2022-02-19,Seattle Kraken,1,Calgary Flames,2,,9639,2:21,
2022-02-19,Boston Bruins,3,Ottawa Senators,2,OT,5212,2:29,
2022-02-19,St. Louis Blues,6,Toronto Maple Leafs,3,,9098,2:25,
2022-02-19,Anaheim Ducks,7,Vancouver Canucks,4,,18932,2:24,
2022-02-19,Edmonton Oilers,4,Winnipeg Jets,2,,12360,2:26,
2022-02-20,Dallas Stars,1,Arizona Coyotes,3,,10248,2:18,
2022-02-20,Buffalo Sabres,3,Columbus Blue Jackets,7,,18608,2:39,
2022-02-20,Florida Panthers,5,Chicago Blackhawks,2,,19619,2:33,
2022-02-20,Minnesota Wild,7,Edmonton Oilers,3,,9150,2:23,
2022-02-20,Montreal Canadiens,3,New York Islanders,2,SO,17255,2:28,
2022-02-20,New York Rangers,2,Ottawa Senators,1,,5181,2:19,
2022-02-20,Carolina Hurricanes,4,Pittsburgh Penguins,3,,18429,2:25,
2022-02-20,Vegas Golden Knights,4,San Jose Sharks,1,,11504,2:31,
2022-02-21,Colorado Avalanche,1,Boston Bruins,5,,17850,2:32,
2022-02-21,Winnipeg Jets,1,Calgary Flames,3,,9639,2:22,
2022-02-21,Toronto Maple Leafs,2,Montreal Canadiens,5,,10552,2:29,
2022-02-21,Carolina Hurricanes,4,Philadelphia Flyers,3,OT,14591,2:41,
2022-02-21,Seattle Kraken,2,Vancouver Canucks,5,,18346,2:30,
2022-02-22,San Jose Sharks,3,Anaheim Ducks,4,SO,13288,2:44,
2022-02-22,Toronto Maple Leafs,3,Columbus Blue Jackets,4,OT,15489,2:32,
2022-02-22,Nashville Predators,6,Florida Panthers,4,,14234,2:35,
2022-02-22,Minnesota Wild,3,Ottawa Senators,4,,7602,2:20,
2022-02-22,St. Louis Blues,4,Philadelphia Flyers,1,,14929,2:24,
2022-02-22,New York Islanders,5,Seattle Kraken,2,,17151,2:21,
2022-02-23,Los Angeles Kings,3,Arizona Coyotes,2,,9415,2:19,
2022-02-23,Winnipeg Jets,2,Dallas Stars,3,OT,10098,2:27,
2022-02-23,Colorado Avalanche,5,Detroit Red Wings,2,,18562,2:29,
2022-02-23,Buffalo Sabres,0,Montreal Canadiens,4,,10552,2:22,
2022-02-23,Edmonton Oilers,3,Tampa Bay Lightning,5,,19092,2:23,
2022-02-24,Columbus Blue Jackets,6,Florida Panthers,3,,15730,2:27,
2022-02-24,Dallas Stars,1,Nashville Predators,2,SO,17869,2:36,
2022-02-24,Washington Capitals,1,New York Rangers,4,,18006,2:24,
2022-02-24,New Jersey Devils,6,Pittsburgh Penguins,1,,18057,2:22,
2022-02-24,Boston Bruins,3,Seattle Kraken,2,OT,17151,2:30,
2022-02-24,New York Islanders,3,San Jose Sharks,4,SO,11283,2:39,
2022-02-24,Minnesota Wild,1,Toronto Maple Leafs,3,,9410,2:25,
2022-02-24,Calgary Flames,1,Vancouver Canucks,7,,18857,2:35,
2022-02-25,Los Angeles Kings,4,Anaheim Ducks,1,,17174,2:25,
2022-02-25,Vegas Golden Knights,1,Arizona Coyotes,3,,11934,2:20,
2022-02-25,Columbus Blue Jackets,0,Carolina Hurricanes,4,,17112,2:28,
2022-02-25,New Jersey Devils,5,Chicago Blackhawks,8,,19343,2:36,
2022-02-25,Winnipeg Jets,3,Colorado Avalanche,6,,18037,2:24,
2022-02-25,Buffalo Sabres,3,St. Louis Blues,5,,18096,2:23,
2022-02-26,Minnesota Wild,3,Calgary Flames,7,,9639,2:40,
2022-02-26,Toronto Maple Leafs,10,Detroit Red Wings,7,,18791,2:27,
2022-02-26,Edmonton Oilers,4,Florida Panthers,3,,15628,2:34,
2022-02-26,New York Islanders,2,Los Angeles Kings,5,,18230,2:28,
2022-02-26,Tampa Bay Lightning,3,Nashville Predators,2,,68619,2:41,at Nissan Stadium (Nashville TN)
2022-02-26,Montreal Canadiens,2,Ottawa Senators,1,,9958,2:23,
2022-02-26,Washington Capitals,1,Philadelphia Flyers,2,,18276,2:27,
2022-02-26,New York Rangers,0,Pittsburgh Penguins,1,,18413,2:29,
2022-02-26,Boston Bruins,3,San Jose Sharks,1,,17260,2:23,
2022-02-26,Colorado Avalanche,3,Vegas Golden Knights,2,,18333,2:23,
2022-02-27,New York Islanders,4,Anaheim Ducks,0,,14173,2:27,
2022-02-27,Winnipeg Jets,5,Arizona Coyotes,3,,10152,2:19,
2022-02-27,Edmonton Oilers,1,Carolina Hurricanes,2,,18801,2:42,
2022-02-27,Pittsburgh Penguins,3,Columbus Blue Jackets,2,,17072,2:29,
2022-02-27,St. Louis Blues,4,Chicago Blackhawks,0,,19588,2:21,
2022-02-27,Buffalo Sabres,2,Dallas Stars,4,,18532,2:27,
2022-02-27,Vancouver Canucks,5,New York Rangers,2,,16483,2:23,
2022-02-27,Seattle Kraken,1,San Jose Sharks,3,,13171,2:28,
2022-02-28,Boston Bruins,7,Los Angeles Kings,0,,16067,2:35,
2022-02-28,Vancouver Canucks,2,New Jersey Devils,7,,11693,2:28,
2022-02-28,Toronto Maple Leafs,5,Washington Capitals,3,,18573,2:30,
2022-03-01,Boston Bruins,3,Anaheim Ducks,4,,11567,2:32,
2022-03-01,New Jersey Devils,3,Columbus Blue Jackets,4,,13678,2:38,
2022-03-01,New York Islanders,3,Colorado Avalanche,5,,17622,2:23,
2022-03-01,Carolina Hurricanes,3,Detroit Red Wings,4,OT,14874,2:41,
2022-03-01,Calgary Flames,5,Minnesota Wild,1,,16998,2:29,
2022-03-01,Edmonton Oilers,3,Philadelphia Flyers,0,,15114,2:28,
2022-03-01,Ottawa Senators,2,Tampa Bay Lightning,5,,19092,2:35,
2022-03-01,San Jose Sharks,1,Vegas Golden Knights,3,,17819,2:20,
2022-03-01,Montreal Canadiens,4,Winnipeg Jets,8,,13816,2:35,
2022-03-02,Los Angeles Kings,3,Dallas Stars,4,,18046,2:31,
2022-03-02,St. Louis Blues,3,New York Rangers,5,,16870,2:25,
2022-03-02,Nashville Predators,3,Seattle Kraken,4,,17151,2:28,
2022-03-02,Buffalo Sabres,5,Toronto Maple Leafs,1,,17122,2:19,
2022-03-03,Colorado Avalanche,1,Arizona Coyotes,2,,10840,2:25,
2022-03-03,Montreal Canadiens,5,Calgary Flames,4,OT,16288,2:33,
2022-03-03,Edmonton Oilers,3,Chicago Blackhawks,4,OT,19688,2:34,
2022-03-03,Ottawa Senators,0,Florida Panthers,3,,16499,2:36,
2022-03-03,Vancouver Canucks,4,New York Islanders,3,,16412,2:24,
2022-03-03,Minnesota Wild,5,Philadelphia Flyers,4,,13876,2:32,
2022-03-03,Pittsburgh Penguins,5,Tampa Bay Lightning,1,,19092,2:37,
2022-03-03,Boston Bruins,5,Vegas Golden Knights,2,,18109,2:26,
2022-03-03,Carolina Hurricanes,0,Washington Capitals,4,,18573,2:22,
2022-03-04,Vegas Golden Knights,5,Anaheim Ducks,4,,12586,2:31,
2022-03-04,Minnesota Wild,4,Buffalo Sabres,5,,8462,2:29,
2022-03-04,Pittsburgh Penguins,2,Carolina Hurricanes,3,OT,19023,2:40,
2022-03-04,Los Angeles Kings,4,Columbus Blue Jackets,3,OT,15778,2:28,
2022-03-04,New Jersey Devils,1,New York Rangers,3,,18006,2:25,
2022-03-04,Detroit Red Wings,1,Tampa Bay Lightning,3,,19092,2:27,
2022-03-04,Dallas Stars,4,Winnipeg Jets,3,OT,13466,2:34,
2022-03-05,Ottawa Senators,5,Arizona Coyotes,8,,11810,2:27,
2022-03-05,Boston Bruins,5,Columbus Blue Jackets,4,SO,19434,2:39,
2022-03-05,Calgary Flames,4,Colorado Avalanche,3,OT,18087,2:33,
2022-03-05,Montreal Canadiens,5,Edmonton Oilers,2,,18258,2:31,
2022-03-05,Detroit Red Wings,2,Florida Panthers,6,,15890,2:21,
2022-03-05,St. Louis Blues,1,New York Islanders,2,,17255,2:30,
2022-03-05,Chicago Blackhawks,3,Philadelphia Flyers,4,,18448,2:38,
2022-03-05,Nashville Predators,8,San Jose Sharks,0,,13936,2:31,
2022-03-05,Vancouver Canucks,6,Toronto Maple Leafs,4,,17534,2:29,
2022-03-05,Seattle Kraken,2,Washington Capitals,5,,18573,2:25,
2022-03-06,San Jose Sharks,2,Anaheim Ducks,3,OT,12183,2:29,
2022-03-06,Los Angeles Kings,3,Buffalo Sabres,0,,10775,2:32,
2022-03-06,Seattle Kraken,2,Carolina Hurricanes,3,,18156,2:33,
2022-03-06,Tampa Bay Lightning,6,Chicago Blackhawks,3,,18856,2:23,
2022-03-06,Dallas Stars,6,Minnesota Wild,3,,18791,2:42,
2022-03-06,St. Louis Blues,2,New Jersey Devils,3,OT,14923,2:25,
2022-03-06,Ottawa Senators,1,Vegas Golden Knights,2,,17909,2:31,
2022-03-06,New York Rangers,4,Winnipeg Jets,1,,12867,2:16,
2022-03-07,Los Angeles Kings,3,Boston Bruins,2,OT,17850,2:43,
2022-03-07,Florida Panthers,6,Buffalo Sabres,1,,7906,2:24,
2022-03-07,Toronto Maple Leafs,5,Columbus Blue Jackets,4,,14252,2:35,
2022-03-07,Edmonton Oilers,1,Calgary Flames,3,,17246,2:31,
2022-03-07,Colorado Avalanche,5,New York Islanders,4,,16378,2:31,
2022-03-08,Washington Capitals,5,Calgary Flames,4,,15628,2:30,
2022-03-08,Anaheim Ducks,3,Chicago Blackhawks,8,,18591,2:25,
2022-03-08,Arizona Coyotes,9,Detroit Red Wings,2,,14621,2:29,
2022-03-08,New York Rangers,2,Minnesota Wild,5,,18356,2:21,
2022-03-08,Colorado Avalanche,3,New Jersey Devils,5,,12181,2:30,
2022-03-08,Dallas Stars,1,Nashville Predators,2,,17306,2:18,
2022-03-08,Vegas Golden Knights,1,Philadelphia Flyers,2,,14482,2:36,
2022-03-08,Florida Panthers,4,Pittsburgh Penguins,3,,17876,2:29,
2022-03-08,Ottawa Senators,4,St. Louis Blues,1,,18096,2:17,
2022-03-08,Seattle Kraken,4,Toronto Maple Leafs,6,,17547,2:30,
2022-03-08,Tampa Bay Lightning,4,Winnipeg Jets,7,,12925,2:18,
2022-03-09,Washington Capitals,3,Edmonton Oilers,4,OT,16368,2:41,
2022-03-09,Montreal Canadiens,3,Vancouver Canucks,5,,18645,2:26,
2022-03-10,Chicago Blackhawks,3,Boston Bruins,4,,17850,2:31,
2022-03-10,Vegas Golden Knights,1,Buffalo Sabres,3,,12437,2:24,
2022-03-10,Colorado Avalanche,0,Carolina Hurricanes,2,,18056,2:26,
2022-03-10,Tampa Bay Lightning,1,Calgary Flames,4,,15689,2:25,
2022-03-10,Minnesota Wild,6,Detroit Red Wings,5,SO,17461,2:52,
2022-03-10,Philadelphia Flyers,3,Florida Panthers,6,,17193,2:42,
2022-03-10,San Jose Sharks,4,Los Angeles Kings,3,OT,14228,2:28,
2022-03-10,Winnipeg Jets,2,New Jersey Devils,1,,12377,2:16,
2022-03-10,Anaheim Ducks,1,Nashville Predators,4,,17159,2:38,
2022-03-10,Columbus Blue Jackets,0,New York Islanders,6,,16048,2:31,
2022-03-10,Seattle Kraken,3,Ottawa Senators,4,OT,11622,2:29,
2022-03-10,New York Rangers,2,St. Louis Blues,6,,18096,2:24,
2022-03-10,Arizona Coyotes,5,Toronto Maple Leafs,4,OT,17351,2:26,
2022-03-11,Minnesota Wild,2,Columbus Blue Jackets,3,SO,16399,2:41,
2022-03-11,Winnipeg Jets,2,New York Islanders,5,,17255,2:27,
2022-03-11,Vegas Golden Knights,2,Pittsburgh Penguins,5,,18341,2:23,
2022-03-11,Washington Capitals,4,Vancouver Canucks,3,OT,18814,2:33,
2022-03-12,Arizona Coyotes,2,Boston Bruins,3,,17850,2:24,
2022-03-12,Philadelphia Flyers,1,Carolina Hurricanes,3,,18680,2:23,
2022-03-12,Detroit Red Wings,0,Calgary Flames,3,,17658,2:28,
2022-03-12,New York Rangers,7,Dallas Stars,4,,18532,2:27,
2022-03-12,Tampa Bay Lightning,1,Edmonton Oilers,4,,17528,2:39,
2022-03-12,Seattle Kraken,4,Montreal Canadiens,3,SO,20608,2:51,
2022-03-12,Anaheim Ducks,1,New Jersey Devils,2,SO,14783,2:30,
2022-03-12,St. Louis Blues,7,Nashville Predators,4,,17565,2:32,
2022-03-12,Chicago Blackhawks,6,Ottawa Senators,3,,14252,2:26,
2022-03-12,Los Angeles Kings,0,San Jose Sharks,5,,13821,2:18,
2022-03-13,Toronto Maple Leafs,2,Buffalo Sabres,5,,26119,2:46,at Tim Horton's Field (ON Ha)
2022-03-13,Vegas Golden Knights,4,Columbus Blue Jackets,6,,16087,2:33,
2022-03-13,Calgary Flames,0,Colorado Avalanche,3,,18081,2:27,
2022-03-13,Florida Panthers,2,Los Angeles Kings,3,SO,15822,2:39,
2022-03-13,Nashville Predators,6,Minnesota Wild,2,,19009,2:29,
2022-03-13,Anaheim Ducks,3,New York Islanders,4,,17255,2:30,
2022-03-13,Montreal Canadiens,4,Philadelphia Flyers,3,OT,15451,2:35,
2022-03-13,Carolina Hurricanes,2,Pittsburgh Penguins,4,,17866,2:38,
2022-03-13,Winnipeg Jets,4,St. Louis Blues,3,OT,18096,2:28,
2022-03-13,Tampa Bay Lightning,2,Vancouver Canucks,1,,18760,2:28,
2022-03-14,Arizona Coyotes,5,Ottawa Senators,3,,9201,2:22,
2022-03-15,Boston Bruins,2,Chicago Blackhawks,1,OT,19629,2:34,
2022-03-15,Detroit Red Wings,5,Edmonton Oilers,7,,15311,2:30,
2022-03-15,Colorado Avalanche,3,Los Angeles Kings,0,,13967,2:26,
2022-03-15,Arizona Coyotes,6,Montreal Canadiens,3,,20532,2:26,
2022-03-15,Pittsburgh Penguins,1,Nashville Predators,4,,17498,2:23,
2022-03-15,Anaheim Ducks,3,New York Rangers,4,OT,18006,2:28,
2022-03-15,Florida Panthers,3,San Jose Sharks,2,OT,12276,2:33,
2022-03-15,Dallas Stars,0,Toronto Maple Leafs,4,,18543,2:22,
2022-03-15,New Jersey Devils,3,Vancouver Canucks,6,,18562,2:32,
2022-03-15,Vegas Golden Knights,3,Winnipeg Jets,7,,13470,2:25,
2022-03-15,New York Islanders,3,Washington Capitals,4,SO,18573,2:45,
2022-03-16,New Jersey Devils,3,Calgary Flames,6,,15488,2:26,
2022-03-16,Boston Bruins,2,Minnesota Wild,4,,17956,2:40,
2022-03-16,Columbus Blue Jackets,4,Ottawa Senators,1,,10087,2:23,
2022-03-16,Tampa Bay Lightning,4,Seattle Kraken,1,,17151,2:27,
2022-03-17,Washington Capitals,7,Columbus Blue Jackets,2,,15911,2:36,
2022-03-17,Buffalo Sabres,1,Edmonton Oilers,6,,15883,2:28,
2022-03-17,San Jose Sharks,0,Los Angeles Kings,3,,13137,2:17,
2022-03-17,Dallas Stars,4,Montreal Canadiens,3,OT,20714,2:41,
2022-03-17,New York Islanders,2,New York Rangers,1,,18006,2:16,
2022-03-17,Nashville Predators,4,Philadelphia Flyers,5,,18405,2:43,
2022-03-17,Pittsburgh Penguins,3,St. Louis Blues,2,SO,18096,2:43,
2022-03-17,Carolina Hurricanes,2,Toronto Maple Leafs,3,,18134,2:19,
2022-03-17,Detroit Red Wings,1,Vancouver Canucks,0,,18893,2:26,
2022-03-17,Florida Panthers,3,Vegas Golden Knights,5,,18265,2:33,
2022-03-18,Florida Panthers,3,Anaheim Ducks,0,,12296,2:28,
2022-03-18,Washington Capitals,4,Carolina Hurricanes,3,SO,18680,2:59,
2022-03-18,Buffalo Sabres,1,Calgary Flames,0,OT,16685,2:23,
2022-03-18,Philadelphia Flyers,1,Ottawa Senators,3,,11431,2:34,
2022-03-18,Colorado Avalanche,5,San Jose Sharks,3,,13022,2:27,
2022-03-18,Boston Bruins,4,Winnipeg Jets,2,,14191,2:30,
2022-03-19,Pittsburgh Penguins,4,Arizona Coyotes,1,,14507,2:19,
2022-03-19,St. Louis Blues,4,Columbus Blue Jackets,5,,19005,2:29,
2022-03-19,New Jersey Devils,3,Edmonton Oilers,6,,16950,2:35,
