Date,Visitor,G,Home,G,,Att.,LOG,Notes
2022-03-19,Chicago Blackhawks,1,Minnesota Wild,3,,19226,2:26,
2022-03-19,Ottawa Senators,1,Montreal Canadiens,5,,21105,2:29,
2022-03-19,Toronto Maple Leafs,3,Nashville Predators,6,,17692,2:38,
2022-03-19,Dallas Stars,2,New York Islanders,4,,17255,2:26,
2022-03-19,Detroit Red Wings,2,Seattle Kraken,4,,17151,2:30,
2022-03-19,New York Rangers,2,Tampa Bay Lightning,1,,19092,2:34,
2022-03-19,Calgary Flames,5,Vancouver Canucks,2,,18865,2:22,
2022-03-19,Los Angeles Kings,1,Vegas Golden Knights,5,,18136,2:28,
2022-03-20,New York Rangers,2,Carolina Hurricanes,0,,18680,2:23,
2022-03-20,Winnipeg Jets,6,Chicago Blackhawks,4,,19251,2:25,
2022-03-20,New York Islanders,1,Philadelphia Flyers,2,,17218,2:24,
2022-03-20,Arizona Coyotes,2,San Jose Sharks,4,,13349,2:18,
2022-03-20,Buffalo Sabres,3,Vancouver Canucks,2,OT,18873,2:32,
2022-03-20,Dallas Stars,3,Washington Capitals,2,,18573,2:33,
2022-03-21,Nashville Predators,6,Anaheim Ducks,3,,11679,2:33,
2022-03-21,Edmonton Oilers,2,Colorado Avalanche,3,OT,18022,2:30,
2022-03-21,Vegas Golden Knights,0,Minnesota Wild,3,,17498,2:20,
2022-03-21,Boston Bruins,3,Montreal Canadiens,2,OT,20922,2:27,
2022-03-22,Seattle Kraken,4,Arizona Coyotes,2,,11670,2:19,
2022-03-22,Tampa Bay Lightning,2,Carolina Hurricanes,3,,16783,2:41,
2022-03-22,San Jose Sharks,4,Calgary Flames,3,,15594,2:29,
2022-03-22,Edmonton Oilers,3,Dallas Stars,5,,18532,2:28,
2022-03-22,Philadelphia Flyers,3,Detroit Red Wings,6,,15521,2:30,
2022-03-22,Nashville Predators,1,Los Angeles Kings,6,,12629,2:21,
2022-03-22,New York Rangers,4,New Jersey Devils,7,,16514,2:25,
2022-03-22,Ottawa Senators,0,New York Islanders,3,,15856,2:17,
2022-03-22,Columbus Blue Jackets,1,Pittsburgh Penguins,5,,18196,2:21,
2022-03-22,Vegas Golden Knights,0,Winnipeg Jets,4,,13690,2:23,
2022-03-22,St. Louis Blues,5,Washington Capitals,2,,18573,2:18,
2022-03-23,Chicago Blackhawks,4,Anaheim Ducks,2,,11740,2:30,
2022-03-23,Pittsburgh Penguins,3,Buffalo Sabres,4,SO,9399,2:35,
2022-03-23,Vancouver Canucks,3,Colorado Avalanche,1,,17482,2:21,
2022-03-23,New Jersey Devils,2,Toronto Maple Leafs,3,,18739,2:27,
2022-03-24,Tampa Bay Lightning,2,Boston Bruins,3,,17850,2:39,
2022-03-24,Dallas Stars,4,Carolina Hurricanes,3,SO,16421,2:41,
2022-03-24,San Jose Sharks,2,Edmonton Oilers,5,,16740,2:30,
2022-03-24,Chicago Blackhawks,4,Los Angeles Kings,3,SO,13518,2:38,
2022-03-24,Vancouver Canucks,2,Minnesota Wild,3,OT,17333,2:39,
2022-03-24,Florida Panthers,4,Montreal Canadiens,3,,20788,2:34,
2022-03-24,Detroit Red Wings,2,New York Islanders,5,,16429,2:19,
2022-03-24,Philadelphia Flyers,5,St. Louis Blues,2,,18096,2:19,
2022-03-24,Nashville Predators,1,Vegas Golden Knights,6,,18021,2:42,
2022-03-24,Ottawa Senators,5,Winnipeg Jets,2,,14175,2:24,
2022-03-25,Washington Capitals,4,Buffalo Sabres,3,SO,9740,2:35,
2022-03-25,Arizona Coyotes,2,Calgary Flames,4,,16526,2:23,
2022-03-25,Philadelphia Flyers,3,Colorado Avalanche,6,,18051,2:33,
2022-03-25,Pittsburgh Penguins,1,New York Rangers,5,,18006,2:20,
2022-03-25,Columbus Blue Jackets,3,Winnipeg Jets,4,OT,13475,2:30,
2022-03-26,New York Islanders,3,Boston Bruins,6,,17850,2:32,
2022-03-26,Edmonton Oilers,5,Calgary Flames,9,,19289,2:40,
2022-03-26,Vancouver Canucks,4,Dallas Stars,1,,18532,2:36,
2022-03-26,Tampa Bay Lightning,2,Detroit Red Wings,1,OT,19515,2:44,
2022-03-26,Seattle Kraken,2,Los Angeles Kings,4,,18230,2:20,
2022-03-26,Columbus Blue Jackets,2,Minnesota Wild,3,OT,19089,2:41,
2022-03-26,Toronto Maple Leafs,2,Montreal Canadiens,4,,21105,2:30,
2022-03-26,Florida Panthers,4,Ottawa Senators,3,SO,17201,2:54,
2022-03-26,Anaheim Ducks,1,San Jose Sharks,4,,14161,2:19,
2022-03-26,Carolina Hurricanes,7,St. Louis Blues,2,,18096,2:28,
2022-03-26,Chicago Blackhawks,4,Vegas Golden Knights,5,OT,18301,2:33,
2022-03-26,New Jersey Devils,3,Washington Capitals,4,,18573,2:30,
2022-03-27,Colorado Avalanche,2,Minnesota Wild,3,OT,19140,2:43,
2022-03-27,Montreal Canadiens,2,New Jersey Devils,3,SO,12080,2:42,
2022-03-27,Philadelphia Flyers,4,Nashville Predators,5,,17414,2:29,
2022-03-27,Tampa Bay Lightning,4,New York Islanders,1,,17255,2:39,
2022-03-27,Buffalo Sabres,4,New York Rangers,5,OT,18006,2:25,
2022-03-27,Detroit Red Wings,2,Pittsburgh Penguins,11,,17842,2:34,
2022-03-27,Florida Panthers,2,Toronto Maple Leafs,5,,18939,2:32,
2022-03-27,Arizona Coyotes,1,Winnipeg Jets,2,OT,13825,2:27,
2022-03-28,Buffalo Sabres,6,Chicago Blackhawks,5,,18648,2:23,
2022-03-28,Arizona Coyotes,1,Edmonton Oilers,6,,15237,2:25,
2022-03-28,Seattle Kraken,6,Los Angeles Kings,1,,13919,2:30,
2022-03-28,Vancouver Canucks,1,St. Louis Blues,4,,18096,2:19,
2022-03-28,Carolina Hurricanes,6,Washington Capitals,1,,18573,2:25,
2022-03-29,Dallas Stars,3,Anaheim Ducks,2,,12617,2:30,
2022-03-29,Toronto Maple Leafs,6,Boston Bruins,4,,17850,2:34,
2022-03-29,New York Islanders,4,Columbus Blue Jackets,3,,15557,2:22,
2022-03-29,Colorado Avalanche,2,Calgary Flames,1,,16543,2:40,
2022-03-29,Montreal Canadiens,4,Florida Panthers,7,,15587,2:39,
2022-03-29,Philadelphia Flyers,1,Minnesota Wild,4,,17874,2:25,
2022-03-29,Ottawa Senators,1,Nashville Predators,4,,17176,2:41,
2022-03-29,New York Rangers,3,Pittsburgh Penguins,2,,18011,2:17,
2022-03-29,Carolina Hurricanes,3,Tampa Bay Lightning,4,OT,19092,2:37,
2022-03-30,San Jose Sharks,2,Arizona Coyotes,5,,9949,2:23,
2022-03-30,Winnipeg Jets,3,Buffalo Sabres,2,SO,8055,2:30,
2022-03-30,New York Rangers,5,Detroit Red Wings,4,OT,16375,2:27,
2022-03-30,Los Angeles Kings,3,Edmonton Oilers,4,SO,16472,2:38,
2022-03-30,Vegas Golden Knights,3,Seattle Kraken,0,,17151,2:19,
2022-03-30,St. Louis Blues,4,Vancouver Canucks,3,,18809,2:22,
2022-03-31,Dallas Stars,3,Anaheim Ducks,2,OT,12385,2:30,
2022-03-31,New Jersey Devils,1,Boston Bruins,8,,17850,2:49,
2022-03-31,Montreal Canadiens,0,Carolina Hurricanes,4,,15289,2:30,
2022-03-31,Los Angeles Kings,3,Calgary Flames,2,SO,16398,2:34,
2022-03-31,San Jose Sharks,2,Colorado Avalanche,4,,18013,2:25,
2022-03-31,Chicago Blackhawks,0,Florida Panthers,4,,15218,2:30,
2022-03-31,Pittsburgh Penguins,4,Minnesota Wild,3,OT,18978,2:41,
2022-03-31,Columbus Blue Jackets,2,New York Islanders,5,,17255,2:19,
2022-03-31,Winnipeg Jets,3,Toronto Maple Leafs,7,,18517,2:39,
2022-04-01,Anaheim Ducks,5,Arizona Coyotes,0,,13587,2:27,
2022-04-01,Nashville Predators,3,Buffalo Sabres,4,,19070,2:22,
2022-04-01,Ottawa Senators,5,Detroit Red Wings,2,,17563,2:32,
2022-04-01,St. Louis Blues,5,Edmonton Oilers,6,OT,16310,2:34,
2022-04-01,New York Islanders,3,New York Rangers,0,,17325,2:21,
2022-04-01,Vegas Golden Knights,5,Seattle Kraken,2,,17151,2:29,
2022-04-01,Chicago Blackhawks,2,Tampa Bay Lightning,5,,19092,2:24,
2022-04-02,Columbus Blue Jackets,2,Boston Bruins,5,,17850,2:23,
2022-04-02,Minnesota Wild,3,Carolina Hurricanes,1,,16375,2:35,
2022-04-02,St. Louis Blues,6,Calgary Flames,4,,16422,2:32,
2022-04-02,Pittsburgh Penguins,2,Colorado Avalanche,3,,18102,2:37,
2022-04-02,Florida Panthers,7,New Jersey Devils,6,OT,12284,2:29,
2022-04-02,Toronto Maple Leafs,6,Philadelphia Flyers,3,,17097,2:24,
2022-04-02,Dallas Stars,5,San Jose Sharks,4,,14021,2:19,
2022-04-02,Montreal Canadiens,5,Tampa Bay Lightning,4,SO,19092,2:43,
2022-04-02,Los Angeles Kings,3,Winnipeg Jets,2,,14067,2:25,
2022-04-03,Edmonton Oilers,6,Anaheim Ducks,1,,13689,2:30,
2022-04-03,Florida Panthers,5,Buffalo Sabres,3,,11787,2:29,
2022-04-03,Arizona Coyotes,3,Chicago Blackhawks,2,OT,19869,2:30,
2022-04-03,New York Islanders,4,New Jersey Devils,3,,14620,2:26,
2022-04-03,Philadelphia Flyers,4,New York Rangers,3,SO,16005,2:40,
2022-04-03,Detroit Red Wings,2,Ottawa Senators,5,,16402,2:27,
2022-04-03,Dallas Stars,1,Seattle Kraken,4,,17151,2:27,
2022-04-03,Vegas Golden Knights,3,Vancouver Canucks,2,OT,18969,2:27,
2022-04-03,Minnesota Wild,5,Washington Capitals,1,,18573,2:28,
2022-04-04,Boston Bruins,3,Columbus Blue Jackets,2,OT,16396,2:45,
2022-04-04,Calgary Flames,3,Los Angeles Kings,2,,13464,2:30,
2022-04-04,Arizona Coyotes,1,St. Louis Blues,5,,17163,2:19,
2022-04-04,Toronto Maple Leafs,6,Tampa Bay Lightning,2,,19092,2:31,
2022-04-05,Carolina Hurricanes,2,Buffalo Sabres,4,,8984,2:25,
2022-04-05,New York Islanders,2,Dallas Stars,3,,17876,2:24,
2022-04-05,Boston Bruins,3,Detroit Red Wings,5,,15734,2:35,
2022-04-05,Toronto Maple Leafs,6,Florida Panthers,7,OT,15260,2:49,
2022-04-05,Ottawa Senators,6,Montreal Canadiens,3,,20566,2:27,
2022-04-05,New York Rangers,3,New Jersey Devils,1,,15020,2:20,
2022-04-05,Minnesota Wild,2,Nashville Predators,6,,17244,2:43,
2022-04-05,Columbus Blue Jackets,4,Philadelphia Flyers,2,,14367,2:24,
2022-04-05,Colorado Avalanche,6,Pittsburgh Penguins,4,,17409,2:31,
2022-04-05,Edmonton Oilers,2,San Jose Sharks,1,OT,12046,2:20,
2022-04-06,Calgary Flames,4,Anaheim Ducks,2,,13417,2:21,
2022-04-06,Seattle Kraken,1,St. Louis Blues,4,,18096,2:21,
2022-04-06,Vancouver Canucks,5,Vegas Golden Knights,1,,18113,2:20,
2022-04-06,Detroit Red Wings,3,Winnipeg Jets,1,,13484,2:21,
2022-04-06,Tampa Bay Lightning,3,Washington Capitals,4,,18573,2:38,
2022-04-07,Vancouver Canucks,5,Arizona Coyotes,1,,9679,2:14,
2022-04-07,Buffalo Sabres,3,Carolina Hurricanes,5,,15639,2:18,
2022-04-07,Philadelphia Flyers,4,Columbus Blue Jackets,1,,17118,2:11,
2022-04-07,Seattle Kraken,2,Chicago Blackhawks,0,,18677,2:16,
2022-04-07,Toronto Maple Leafs,4,Dallas Stars,3,OT,18012,2:31,
2022-04-07,Edmonton Oilers,3,Los Angeles Kings,2,,15149,2:21,
2022-04-07,Montreal Canadiens,7,New Jersey Devils,4,,10435,2:24,
2022-04-07,Pittsburgh Penguins,0,New York Rangers,3,,16694,2:24,
2022-04-07,Nashville Predators,3,Ottawa Senators,2,,12103,2:42,
2022-04-07,Calgary Flames,4,San Jose Sharks,2,,11426,2:27,
2022-04-08,New York Islanders,2,Carolina Hurricanes,1,,17279,2:18,
2022-04-08,Buffalo Sabres,3,Florida Panthers,4,,17728,2:20,
2022-04-08,Minnesota Wild,3,St. Louis Blues,4,OT,18096,2:35,
2022-04-08,Boston Bruins,2,Tampa Bay Lightning,1,OT,19092,2:34,
2022-04-08,Colorado Avalanche,5,Winnipeg Jets,4,OT,13900,2:35,
2022-04-09,New Jersey Devils,3,Dallas Stars,1,,18127,2:23,
2022-04-09,Columbus Blue Jackets,5,Detroit Red Wings,4,OT,19515,2:34,
2022-04-09,Colorado Avalanche,2,Edmonton Oilers,1,SO,18347,2:37,
2022-04-09,Florida Panthers,4,Nashville Predators,1,,17465,2:30,
2022-04-09,Ottawa Senators,1,New York Rangers,5,,18006,2:26,
2022-04-09,Anaheim Ducks,5,Philadelphia Flyers,3,,17455,2:28,
2022-04-09,Washington Capitals,6,Pittsburgh Penguins,3,,18404,2:39,
2022-04-09,Calgary Flames,4,Seattle Kraken,1,,17151,2:24,
2022-04-09,New York Islanders,1,St. Louis Blues,6,,18096,2:27,
2022-04-09,Montreal Canadiens,2,Toronto Maple Leafs,3,,19113,2:28,
2022-04-09,San Jose Sharks,2,Vancouver Canucks,4,,18607,2:34,
2022-04-09,Arizona Coyotes,1,Vegas Golden Knights,6,,18123,2:23,
2022-04-10,Anaheim Ducks,2,Carolina Hurricanes,5,,17342,2:36,
2022-04-10,Dallas Stars,6,Chicago Blackhawks,4,,18809,2:25,
2022-04-10,Los Angeles Kings,3,Minnesota Wild,6,,19104,2:29,
2022-04-10,Winnipeg Jets,4,Ottawa Senators,3,,12207,2:33,
2022-04-10,Nashville Predators,2,Pittsburgh Penguins,3,OT,17553,2:35,
2022-04-10,Buffalo Sabres,0,Tampa Bay Lightning,5,,19092,2:22,
2022-04-10,Boston Bruins,2,Washington Capitals,4,,18573,2:39,
2022-04-11,Winnipeg Jets,4,Montreal Canadiens,2,,20728,2:23,
2022-04-12,New Jersey Devils,6,Arizona Coyotes,2,,8679,2:23,
2022-04-12,St. Louis Blues,4,Boston Bruins,2,,17850,2:31,
2022-04-12,Seattle Kraken,3,Calgary Flames,5,,16392,2:28,
2022-04-12,Los Angeles Kings,5,Chicago Blackhawks,2,,18032,2:19,
2022-04-12,Tampa Bay Lightning,0,Dallas Stars,1,,17567,2:28,
2022-04-12,Ottawa Senators,4,Detroit Red Wings,1,,16093,2:24,
2022-04-12,Anaheim Ducks,2,Florida Panthers,3,OT,16204,2:32,
2022-04-12,Edmonton Oilers,1,Minnesota Wild,5,,19035,2:32,
2022-04-12,San Jose Sharks,0,Nashville Predators,1,OT,17159,2:38,
2022-04-12,Pittsburgh Penguins,4,New York Islanders,5,SO,15924,2:40,
2022-04-12,Carolina Hurricanes,4,New York Rangers,2,,18006,2:26,
2022-04-12,Buffalo Sabres,5,Toronto Maple Leafs,2,,18393,2:24,
2022-04-12,Vegas Golden Knights,4,Vancouver Canucks,5,OT,18717,2:30,
2022-04-12,Philadelphia Flyers,2,Washington Capitals,9,,18573,2:29,
2022-04-13,Montreal Canadiens,1,Columbus Blue Jackets,5,,16708,2:24,
2022-04-13,Los Angeles Kings,3,Colorado Avalanche,9,,18017,2:22,
2022-04-13,New York Rangers,4,Philadelphia Flyers,0,,15967,2:19,
2022-04-14,Ottawa Senators,3,Boston Bruins,2,,17850,2:39,
2022-04-14,St. Louis Blues,6,Buffalo Sabres,2,,11565,2:22,
2022-04-14,Detroit Red Wings,3,Carolina Hurricanes,0,,17811,2:31,
2022-04-14,Vegas Golden Knights,6,Calgary Flames,1,,17070,2:30,
2022-04-14,San Jose Sharks,4,Chicago Blackhawks,5,SO,19501,2:45,
2022-04-14,New Jersey Devils,1,Colorado Avalanche,3,,18024,2:20,
2022-04-14,Minnesota Wild,3,Dallas Stars,2,OT,18110,2:31,
2022-04-14,Edmonton Oilers,4,Nashville Predators,0,,17403,2:34,
2022-04-14,New York Islanders,3,Pittsburgh Penguins,6,,18236,2:29,
2022-04-14,Anaheim Ducks,3,Tampa Bay Lightning,4,OT,19092,2:35,
2022-04-14,Washington Capitals,3,Toronto Maple Leafs,7,,18466,2:30,
2022-04-14,Arizona Coyotes,1,Vancouver Canucks,7,,18890,2:22,
2022-04-15,Winnipeg Jets,1,Florida Panthers,6,,17625,2:27,
2022-04-15,New York Islanders,3,Montreal Canadiens,0,,21105,2:22,
2022-04-16,Pittsburgh Penguins,1,Boston Bruins,2,,17850,2:26,
2022-04-16,Philadelphia Flyers,3,Buffalo Sabres,4,,11046,2:24,
2022-04-16,Arizona Coyotes,1,Calgary Flames,9,,16823,2:26,
2022-04-16,Carolina Hurricanes,4,Colorado Avalanche,7,,18091,2:34,
2022-04-16,San Jose Sharks,1,Dallas Stars,2,,18532,2:22,
2022-04-16,Vegas Golden Knights,0,Edmonton Oilers,4,,17757,2:31,
2022-04-16,Columbus Blue Jackets,1,Los Angeles Kings,2,,18230,2:23,
2022-04-16,Washington Capitals,8,Montreal Canadiens,4,,21105,2:43,
2022-04-16,Chicago Blackhawks,3,Nashville Predators,4,,17159,2:36,
2022-04-16,Detroit Red Wings,0,New York Rangers,4,,18006,2:18,
2022-04-16,Toronto Maple Leafs,5,Ottawa Senators,4,OT,18655,2:35,
2022-04-16,New Jersey Devils,3,Seattle Kraken,4,SO,17151,2:40,
2022-04-16,Minnesota Wild,5,St. Louis Blues,6,OT,18096,2:43,
2022-04-16,Winnipeg Jets,4,Tampa Bay Lightning,7,,19092,2:27,
2022-04-17,Columbus Blue Jackets,4,Anaheim Ducks,6,,13635,2:24,
2022-04-17,Florida Panthers,6,Detroit Red Wings,1,,14566,2:23,
2022-04-17,San Jose Sharks,4,Minnesota Wild,5,OT,19029,2:28,
2022-04-17,St. Louis Blues,8,Nashville Predators,3,,17277,2:30,
2022-04-17,Buffalo Sabres,5,Philadelphia Flyers,3,,14377,2:28,
2022-04-17,New York Islanders,2,Toronto Maple Leafs,4,,17464,2:29,
2022-04-18,Carolina Hurricanes,5,Arizona Coyotes,3,,8496,2:27,
2022-04-18,Calgary Flames,5,Chicago Blackhawks,2,,18523,2:23,
2022-04-18,Washington Capitals,3,Colorado Avalanche,2,,18020,2:28,
2022-04-18,Ottawa Senators,2,Seattle Kraken,4,,17151,2:31,
2022-04-18,Dallas Stars,2,Vancouver Canucks,6,,18890,2:29,
2022-04-18,New Jersey Devils,3,Vegas Golden Knights,2,,18077,2:24,
2022-04-19,Los Angeles Kings,2,Anaheim Ducks,1,,17174,2:24,
2022-04-19,Minnesota Wild,2,Montreal Canadiens,0,,20725,2:26,
2022-04-19,Calgary Flames,2,Nashville Predators,3,SO,17237,2:43,
2022-04-19,Florida Panthers,3,New York Islanders,2,OT,17255,2:28,
2022-04-19,Winnipeg Jets,0,New York Rangers,3,,18006,2:23,
2022-04-19,Columbus Blue Jackets,2,San Jose Sharks,3,,11894,2:18,
2022-04-19,Boston Bruins,3,St. Louis Blues,2,OT,18096,2:29,
2022-04-19,Detroit Red Wings,4,Tampa Bay Lightning,3,,19092,2:31,
2022-04-19,Philadelphia Flyers,2,Toronto Maple Leafs,5,,18291,2:29,
2022-04-19,Ottawa Senators,4,Vancouver Canucks,3,SO,18845,0:28,
2022-04-20,Chicago Blackhawks,4,Arizona Coyotes,3,OT,11916,2:35,
2022-04-20,Dallas Stars,2,Edmonton Oilers,5,,16833,2:27,
2022-04-20,Colorado Avalanche,2,Seattle Kraken,3,,17151,2:17,
2022-04-20,Washington Capitals,3,Vegas Golden Knights,4,OT,18240,2:38,
2022-04-21,Winnipeg Jets,2,Carolina Hurricanes,4,,17587,2:26,
2022-04-21,Dallas Stars,2,Calgary Flames,4,,17280,2:27,
2022-04-21,Detroit Red Wings,2,Florida Panthers,5,,16238,2:26,
2022-04-21,Chicago Blackhawks,1,Los Angeles Kings,4,,18230,2:17,
2022-04-21,Vancouver Canucks,3,Minnesota Wild,6,,17894,2:28,
2022-04-21,Philadelphia Flyers,6,Montreal Canadiens,3,,21105,2:30,
2022-04-21,Buffalo Sabres,5,New Jersey Devils,2,,12014,2:19,
2022-04-21,New York Rangers,6,New York Islanders,3,,17255,2:16,
2022-04-21,Boston Bruins,0,Pittsburgh Penguins,4,,18350,2:30,
2022-04-21,St. Louis Blues,3,San Jose Sharks,1,,12136,2:15,
2022-04-21,Toronto Maple Leafs,1,Tampa Bay Lightning,8,,19092,2:47,
2022-04-22,Washington Capitals,2,Arizona Coyotes,0,,14053,2:23,
2022-04-22,Ottawa Senators,2,Columbus Blue Jackets,1,SO,18116,2:40,
2022-04-22,Colorado Avalanche,3,Edmonton Oilers,6,,18347,2:29,
2022-04-22,Seattle Kraken,3,Minnesota Wild,6,,19047,2:26,
2022-04-23,St. Louis Blues,5,Arizona Coyotes,4,OT,12717,2:23,
2022-04-23,New York Rangers,1,Boston Bruins,3,,17850,2:26,
2022-04-23,New York Islanders,3,Buffalo Sabres,5,,12955,2:21,
2022-04-23,Vancouver Canucks,3,Calgary Flames,6,,17533,2:31,
2022-04-23,Seattle Kraken,2,Dallas Stars,3,,18532,2:29,
2022-04-23,Pittsburgh Penguins,7,Detroit Red Wings,2,,19515,2:26,
2022-04-23,Toronto Maple Leafs,2,Florida Panthers,3,OT,17132,2:29,
2022-04-23,Anaheim Ducks,2,Los Angeles Kings,4,,18230,2:28,
2022-04-23,Carolina Hurricanes,3,New Jersey Devils,2,OT,10376,2:27,
2022-04-23,Montreal Canadiens,4,Ottawa Senators,6,,19410,2:37,
2022-04-23,Chicago Blackhawks,1,San Jose Sharks,4,,17562,2:15,
2022-04-23,Nashville Predators,2,Tampa Bay Lightning,6,,19092,2:32,
2022-04-24,St. Louis Blues,6,Anaheim Ducks,3,,17446,2:26,
2022-04-24,Edmonton Oilers,2,Columbus Blue Jackets,5,,18120,2:27,
2022-04-24,Tampa Bay Lightning,8,Florida Panthers,4,,17036,2:44,
2022-04-24,Boston Bruins,5,Montreal Canadiens,3,,21105,2:33,
2022-04-24,Detroit Red Wings,3,New Jersey Devils,0,,11492,2:13,
2022-04-24,Minnesota Wild,5,Nashville Predators,4,OT,17160,2:49,
2022-04-24,Carolina Hurricanes,5,New York Islanders,2,,15945,2:20,
2022-04-24,Pittsburgh Penguins,1,Philadelphia Flyers,4,,18601,2:37,
2022-04-24,San Jose Sharks,5,Vegas Golden Knights,4,SO,18367,2:46,
2022-04-24,Colorado Avalanche,1,Winnipeg Jets,4,,14443,2:27,
2022-04-24,Toronto Maple Leafs,4,Washington Capitals,3,SO,18573,2:47,
2022-04-25,Philadelphia Flyers,1,Chicago Blackhawks,3,,18642,2:26,
2022-04-26,Florida Panthers,2,Boston Bruins,4,,17850,2:34,
2022-04-26,St. Louis Blues,3,Colorado Avalanche,5,,18071,2:30,
2022-04-26,Vegas Golden Knights,2,Dallas Stars,3,SO,18532,2:50,
2022-04-26,Arizona Coyotes,5,Minnesota Wild,3,,18383,2:32,
2022-04-26,Calgary Flames,5,Nashville Predators,4,OT,17498,2:50,
2022-04-26,Carolina Hurricanes,4,New York Rangers,3,,17358,2:31,
2022-04-26,New Jersey Devils,4,Ottawa Senators,5,OT,13101,2:38,
2022-04-26,Edmonton Oilers,5,Pittsburgh Penguins,1,,17804,2:26,
2022-04-26,Anaheim Ducks,5,San Jose Sharks,2,,13378,2:26,
2022-04-26,Columbus Blue Jackets,1,Tampa Bay Lightning,4,,19092,2:15,
2022-04-26,Detroit Red Wings,0,Toronto Maple Leafs,3,,18107,2:20,
2022-04-26,Seattle Kraken,2,Vancouver Canucks,5,,18261,2:21,
2022-04-26,New York Islanders,4,Washington Capitals,1,,18573,2:21,
2022-04-27,Vegas Golden Knights,3,Chicago Blackhawks,4,SO,19660,2:35,
2022-04-27,Arizona Coyotes,4,Dallas Stars,3,OT,18025,2:40,
2022-04-27,Montreal Canadiens,4,New York Rangers,3,,16845,2:23,
2022-04-27,Los Angeles Kings,5,Seattle Kraken,3,,17151,2:27,
2022-04-27,Philadelphia Flyers,0,Winnipeg Jets,4,,13383,2:23,
2022-04-28,Buffalo Sabres,0,Boston Bruins,5,,17850,2:32,
2022-04-28,New Jersey Devils,3,Carolina Hurricanes,6,,18040,2:22,
2022-04-28,Tampa Bay Lightning,2,Columbus Blue Jackets,5,,18234,2:29,
2022-04-28,Nashville Predators,5,Colorado Avalanche,4,SO,18011,2:52,
2022-04-28,San Jose Sharks,4,Edmonton Oilers,5,OT,16692,2:29,
2022-04-28,Calgary Flames,2,Minnesota Wild,3,OT,18490,2:25,
2022-04-28,Washington Capitals,1,New York Islanders,5,,16722,2:26,
2022-04-28,Florida Panthers,4,Ottawa Senators,0,,17102,2:14,
2022-04-28,Los Angeles Kings,2,Vancouver Canucks,3,OT,18779,2:25,
2022-04-29,Nashville Predators,4,Arizona Coyotes,5,,15123,2:31,
2022-04-29,Chicago Blackhawks,2,Buffalo Sabres,3,OT,16505,2:20,
2022-04-29,Anaheim Ducks,2,Dallas Stars,4,,18532,2:15,
2022-04-29,Vancouver Canucks,2,Edmonton Oilers,3,SO,18347,2:34,
2022-04-29,Colorado Avalanche,1,Minnesota Wild,4,,19261,2:29,
2022-04-29,Florida Panthers,2,Montreal Canadiens,10,,21105,2:28,
2022-04-29,Detroit Red Wings,5,New Jersey Devils,3,,14597,2:17,
2022-04-29,Tampa Bay Lightning,6,New York Islanders,4,,17255,2:26,
2022-04-29,Washington Capitals,2,New York Rangers,3,,17230,2:28,
2022-04-29,Ottawa Senators,4,Philadelphia Flyers,2,,17575,2:33,
2022-04-29,Columbus Blue Jackets,3,Pittsburgh Penguins,5,,18402,2:29,
2022-04-29,San Jose Sharks,0,Seattle Kraken,3,,17151,2:16,
2022-04-29,Vegas Golden Knights,7,St. Louis Blues,4,,18096,2:23,
2022-04-29,Boston Bruins,2,Toronto Maple Leafs,5,,18219,2:29,
2022-04-29,Calgary Flames,1,Winnipeg Jets,3,,14202,2:21,
2022-05-01,Seattle Kraken,3,Winnipeg Jets,4,,14443,2:10,